text,label
"I love this product! It's amazing and works great.",1
"This is the worst experience I have ever had.",0
"Absolutely fantastic service and quality.",1
"Totally disappointed, it broke after one use.",0
"I'm very happy with my purchase.",1
"The item arrived late and damaged.",0
"Great value for money, highly recommend it.",1
"Terrible customer support, won't buy again.",0
"Exceeded my expectations, excellent!",1
"Not worth the price at all.",0
"I love this product! It's amazing and works great.",1
"This is the worst experience I have ever had.",0
"Absolutely fantastic service and quality.",1
"Totally disappointed, it broke after one use.",0
"I'm very happy with my purchase.",1
"The item arrived late and damaged.",0
"Great value for money, highly recommend it.",1
"Terrible customer support, won't buy again.",0
"Exceeded my expectations, excellent!",1
"Not worth the price at all.",0
"The quality is outstanding and delivery was fast.",1
"I hate how complicated this device is to use.",0
"Customer service was very helpful and kind.",1
"The packaging was awful and product missing parts.",0
"I am extremely satisfied with my order.",1
"The software keeps crashing and frustrating me.",0
"Highly recommend to anyone looking for this.",1
"Received a defective item, very unhappy.",0
"This exceeded all my expectations, truly great.",1
"The worst purchase I've made this year.",0
"Love the design and the ease of use.",1
"Battery life is terrible, very disappointed.",0
"Fast shipping and excellent quality.",1
"Not as described, very misleading.",0
"Five stars for the fantastic performance.",1
"Returned it because it didn't work at all.",0
"Very pleased with how everything turned out.",1
"Instructions were confusing and incomplete.",0
"Best investment I've made recently.",1
"The product stopped working after a week.",0
"The app crashes every time I try to open it.",0
"Amazing food and cozy atmosphere, will come back!",1
"Customer support was unhelpful and slow to respond.",0
"Movie was thrilling and kept me on the edge of my seat.",1
"Too many ads, ruined the user experience.",0
"The waiter was very friendly and attentive.",1
"The latest update made the app so much better.",1
"I couldn't find the features I needed, very frustrating.",0
"The plot was boring and predictable.",0
"Fast delivery and excellent packaging!",1
"App interface is confusing and not intuitive.",0
"The dessert was delicious and beautifully presented.",1
"Had to wait an hour for my order, unacceptable.",0
"Great value, and the staff was very helpful.",1
"Soundtrack was amazing and fit the movie perfectly.",1
"Lost all my data after the update.",0
"Best coffee I've had in a long time.",1
"The subscription price is way too high.",0
"Highly recommend this app to everyone.",1
"The food was cold and tasteless.",0
"Smooth checkout process and friendly service.",1
"The app drains battery very fast.",0
"Such a heartwarming and inspiring film.",1
"Received wrong order twice, very disappointing.",0
"The graphics and gameplay are fantastic.",1
"Slow loading times make it unusable.",0
"Staff went above and beyond to help us.",1
"Too many bugs, needs a lot of work.",0
"Delicious meals and great portion sizes.",1
"Refund process was complicated and slow.",0
"The smartphone has an amazing camera and battery life.",1
"I was disappointed because the laptop overheats quickly.",0
"Fast shipping and the package was well protected.",1
"The tablet screen has dead pixels and is unusable.",0
"Excellent sound quality on these wireless earbuds.",1
"Customer service refused to help with my issue.",0
"The smartwatch tracks my workouts accurately.",1
"Received a used item instead of a new one.",0
"The app for this device is user-friendly and smooth.",1
"The device stopped working after two days.",0
"Very happy with the build quality and design.",1
"The keyboard keys are sticky and hard to press.",0
"Quick refund process, very satisfied.",1
"The charger stopped working within a week.",0
"The display is bright and colors look vibrant.",1
"Too many pre-installed apps that I can't remove.",0
"Battery lasts all day even with heavy use.",1
"The shipping took too long, almost two weeks.",0
"The voice assistant feature works really well.",1
"Packaging was damaged when it arrived.",0
"Stylish design and comfortable to hold.",1
"Received wrong color and model, very annoying.",0
"Setup was quick and straightforward.",1
"The screen cracked after a minor drop.",0
"The software updates improve the device regularly.",1
"The instructions were unclear and confusing.",0
"Great price for the features offered.",1
"The device feels cheap and flimsy.",0
"Easy to connect to other devices via Bluetooth.",1
"Battery drains too fast when idle.",0
"Terrible experience, won't return.",0
"Wasted my money on this.",0
"The worst service I've experienced.",0
"Would definitely purchase again.",1
"Everything was perfect, thank you!",1
"Really impressed with the performance.",1
"Not as advertised at all.",0
"Absolutely loved it, will buy again.",1
"Completely useless, broke instantly.",0
"Support was rude and unhelpful.",0
"Super fast delivery and great quality.",1
"Item was exactly as described.",1
"Customer service was top-notch.",1
"Top quality product, exceeded expectations.",1
"Extremely disappointed with the purchase.",0
"Shipping was a nightmare.",0
"High quality and affordable price.",1
"Very poor quality and support.",0
"Can't believe how good this is!",1
"Product failed within days.",0
"It made my life so much easier.",1
"Outstanding attention to detail.",1
"User-friendly and aesthetically pleasing.",1
"Very inconsistent behavior.",0
"I’m loving every bit of it!",1
"Nothing but issues since day one.",0
"Great interface and smooth operation.",1
"Amazing experience, would recommend to others.",1
"Fast response time and intuitive UI.",1
"Quick, reliable, and affordable.",1
"Completely broke after first use.",0
"Item was missing parts on arrival.",0
"Waste of time and money.",0
"So complicated, I gave up.",0
"Not functional and cheaply made.",0
"Awful user experience overall.",0
"Wouldn’t recommend this to anyone.",0
"Terribly designed and ineffective.",0
"Poor construction and support.",0
"Major flaws right out of the box.",0
"Misleading product description.",0
"Unresponsive and buggy software.",0
"Very poor packaging and late delivery.",0
"Uncomfortable and unusable.",0
"Stopped working in a few days.",0
"Too expensive for what it offers.",0
"Really regretting this purchase.",0
"Terrible from start to finish.",0
"Overheats and slows down a lot.",0
"Lacks important features.",0
"Very noisy and disruptive.",0
"Totally unreliable.",0
"Received a faulty product.",0
"Does not match the listing.",0
"Support never responded to queries.",0
"Installation was a nightmare.",0
"Disappointing performance overall.",0
"Looks good but works terribly.",0
"Unnecessarily complicated and bloated.",0
"Doesn't do what it's supposed to.",0
"Low-quality materials and design.",0
"Refund took forever to process.",0
"Feels like a scam.",0
"Worst customer support ever.",0
"Completely unhelpful instructions.",0
"Too many problems to list.",0
"Crashed multiple times already.",0
"Feels unfinished and rushed.",0
"Connectivity issues right away.",0
"Top-notch build quality and service.",1
"Very intuitive and easy to use.",1
"Highly efficient and well-designed.",1
"Fantastic, from start to finish.",1
"Everything I needed and more.",1
"Solid performance and beautiful design.",1
"Just perfect, couldn’t be happier.",1
"Very responsive and well-supported.",1
"Perfect gift for anyone.",1
"Super reliable and consistent.",1
"Totally worth every penny.",1
"Effortless setup and outstanding performance.",1
"Elegant and works flawlessly.",1
"Very durable and dependable.",1
"Exceeded all my needs.",1
"Great investment for the price.",1
"Came quicker than expected, amazing!",1
"Incredible performance, very satisfied.",1
"Very happy with this decision.",1
"This is a must-have item.",1
"Well packaged and easy to install.",1
"Impressed with the overall value.",1
"Everything worked exactly as advertised.",1
"A joy to use every day.",1
"Absolutely no regrets buying this.",1
"Unbeatable quality for this price.",1
"Customer support was excellent.",1
"Five stars, hands down.",1
"Completely satisfied with the outcome.",1
